,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Furan, 2-ethyl-5-methyl-","Class1","315","1.52","4564485.51","7577.340","Class1","315","1.52","5608332.03","8406.098","Class1","315","1.525","9194373.96","7653.623","Class1","315","1.525","12725019.7","13717.986","Class1","315","1.525","6406908.30","14869.502","Class1","315","1.525","6908170.05","9347.161","Class1","315","1.525","10051943.6","14009.655",
"2-Heptene, 3-methyl-","Class1","320","1.27","3707078.85","12780.172","Class1","320","1.27","5003916.87","14250.440","Class1","320","1.275","9436054.15","13884.918","Class1","320","1.27","16058347.2","26881.479","Class1","320","1.27","5387736.96","17409.516","Class1","320","1.27","8197447.88","14436.436","Class1","320","1.28","14853514.7","28858.211",
"Tetrachloroethylene","Class1","320","1.555","3228957.08","18703.213","Class1","320","1.555","2332515.32","14553.000","Class1","325","1.545","35544679.1","84091.867","Class1","320","1.56","3519862.87","18293.188","Class1","320","1.56","2268215.79","13999.906","Class1","320","1.555","6701665.08","33028.684","Class1","320","1.56","3564870.09","20689.219",
"Propane, 1,3-dichloro-","Class1","335","1.975","355143.255","942.454","Class1","335","1.985","199035.250","565.598","Class1","330","1.995","403150.153","932.819","Class1","335","1.985","693999.442","1533.842","Class1","335","1.985","351205.121","1221.427","Class1","335","1.98","1171988.23","2679.005","Class1","335","1.98","161427.751","411.796",
"Cyclohexene, 1-ethyl-","Class1","335","1.335","2772828.37","2354.901","Class1","335","1.335","2111422.96","1728.937","Class1","335","1.345","5098753.91","2683.332","Class1","335","1.34","5245035.31","3114.943","Class1","335","1.335","1998821.52","2417.057","Class1","335","1.34","4550083.80","3417.341","Class1","335","1.34","6748171.99","6105.874",
"Cyclotrisiloxane, hexamethyl-","Class1","340","1.14","11283377.3","61698.199","Class1","340","1.14","4282577.19","24062.469","Class1","340","1.08","11499923.2","123091.547","Class1","340","1.14","14376433.2","57469.238","Class1","340","1.14","3305414.18","19090.662","Class1","340","1.145","23175112.9","68719.031","Class1","340","1.145","4038279.91","19953.523",
"1,3-Octadiene","Class1","345","1.37","1656372.42","4646.379","Class1","345","1.375","1100654.78","3312.801","Class1","345","1.39","3545592.56","6421.487","Class1","345","1.375","3286365.93","7168.332","Class1","345","1.375","1082005.64","3692.895","Class1","345","1.375","2905452.61","6491.236","Class1","345","1.37","1196920.14","4549.113",
"2,3-Dimethyl-3-heptene","Class1","350","1.245","12017833.1","9008.594","Class1","345","1.245","8331509.76","14683.618","Class1","345","1.255","31274191.2","11899.156","Class1","345","1.25","41616669.1","28531.799","Class1","345","1.245","11282875.8","17070.469","Class1","345","1.25","11454112.4","15881.031","Class1","345","1.25","33481310.8","33484.496",
"N-Cbz-glycylglycine p-nitrophenyl ester","Class1","355","1.71","1289320.65","4043.773","Class1","355","1.715","1902118.11","7167.424","Class1","355","1.71","1196660.00","2802.946","Class1","355","1.715","4278565.49","12412.019","Class1","355","1.715","1915846.98","8142.939","Class1","355","1.715","2234906.58","6072.197","Class1","355","1.715","2129662.27","7116.040",
"2,4-Octadiene","Class1","360","1.415","646351.048","819.156","Class1","360","1.42","366463.369","928.501","Class1","365","1.385","695260.781","1106.099","Class1","360","1.42","1313764.65","1741.760","Class1","365","1.41","241407.502","927.834","Class1","360","1.42","826145.357","994.691","Class1","360","1.425","1864640.33","3955.617",
"Heptane, 2,3,5-trimethyl-","Class1","360","1.205","1608847.69","5281.988","Class1","360","1.205","1800297.03","6091.875","Class1","365","1.205","828881.595","2551.145","Class1","365","1.205","536311.469","1935.493","Class1","360","1.205","1497762.79","8167.839","Class1","360","1.205","3131744.11","7581.642","Class1","365","1.2","406025.467","1739.667",
"2-Cyclopenten-1-one","Class1","365","2.46","112249.536","139.471","Class1","365","2.465","203966.677","212.812","Class1","360","2.43","12327644.7","6635.953","Class1","365","2.445","754786.203","516.284","Class1","365","2.445","403924.252","524.432","Class1","365","2.435","1717802.72","983.667","Class1","365","2.525","203246.327","118.541",
"Cyclopentane, 1,2,3-trimethyl-, (1à,2à,3à)-","Class1","375","1.31","39854714.6","9978.608","Class1","375","1.31","37058124.6","11064.003","Class1","375","1.31","38266162.9","5862.700","Class1","375","1.305","76304461.0","10080.683","Class1","375","1.31","43645620.2","17059.490","Class1","370","1.325","54269425.8","7706.691","Class1","375","1.305","52547714.0","10142.439",
"Benzene, chloro-","Class1","375","1.885","1076958.75","3588.931","Class1","375","1.89","643436.012","2393.907","Class1","375","1.88","15863888.1","32061.744","Class1","375","1.89","1529641.10","3939.643","Class1","375","1.89","716148.784","2782.228","Class1","375","1.885","2976365.84","6393.914","Class1","375","1.885","3811504.91","10915.790",
"E,Z-4-Ethylidenecyclohexene","Class1","380","1.535","955880.475","2378.064","Class1","380","1.535","537594.894","1203.060","Class1","380","1.54","656972.295","1261.012","Class1","380","1.54","1051611.92","2497.796","Class1","380","1.54","428566.365","1408.697","Class1","380","1.535","1017748.68","2556.689","Class1","380","1.535","470463.231","1240.112",
"2-Hexanone, 4-methyl-","Class1","385","1.655","598555.716","523.935","Class1","380","1.68","714728.998","842.273","Class1","380","1.68","7110750.70","6267.890","Class1","380","1.68","2857372.50","2464.853","Class1","380","1.68","934725.451","1435.750","Class1","380","1.68","2869889.38","2352.047","Class1","380","1.68","389189.608","424.502",
"2-Nonene, (E)-","Class1","380","1.335","41489734.6","19460.090","Class1","380","1.335","22064443.3","21897.154","Class1","385","1.325","30013713.9","7288.144","Class1","385","1.315","40737987.8","11214.264","Class1","380","1.345","34556784.5","28267.422","Class1","380","1.33","17333473.0","16069.202","Class1","380","1.335","38550829.7","18783.783",
"trans--4-Nonene","Class1","385","1.275","423458.678","3534.175","Class1","390","1.39","2882032.14","3329.544","Class1","385","1.26","567806.281","704.616","Class1","385","1.26","602345.569","1076.997","Class1","385","1.265","428304.691","1589.956","Class1","385","1.26","806408.069","809.443","Class1","385","1.26","533750.802","1216.971",
