,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Analyte 1394","Class1","1070","2.125","42989.888","94.108","Class1","1070","2.2","95705.141","145.170","Class1","1070","2.18","25018.721","55.664","Class1","1070","2.195","44931.427","73.866","Class1","1070","2.195","102831.737","225.508","Class1","1070","2.145","60152.196","137.517",
"Benzene, 1,3,5-trimethyl-2-propyl-","Class1","1090","1.745","34843.358","192.905","Class1","1090","1.765","994444.954","4481.147","Class1","1090","1.755","20640.143","168.282","Class1","1090","1.76","100906.818","850.619","Class1","1090","1.765","7092.659","63.516","Class1","1090","1.75","9062.971","79.386",
"3,4-Dimethylcumene","Class1","1090","1.88","38742.017","340.814","Class1","1090","1.905","1699033.13","12957.954","Class1","1090","1.89","45941.538","402.743","Class1","1090","1.895","271776.348","2026.484","Class1","1090","1.9","22649.206","188.002","Class1","1090","1.89","20111.270","178.140",
"Decane, 2,6,8-trimethyl-","Class1","1090","1.28","38531326.9","25098.135","Class1","1090","1.31","185267592","34688.027","Class1","1090","1.275","10487372.3","5046.500","Class1","1090","1.265","209131734","36317.871","Class1","1090","1.295","69294745.7","30004.559","Class1","1095","1.27","8177892.61","3681.038",
"1H-Indene, 2,3-dihydro-4,7-dimethyl-","Class1","1090","2.01","101911.488","626.042","Class1","1095","2","7063808.73","24750.391","Class1","1090","2.015","170324.395","944.089","Class1","1090","2.015","872063.974","3356.323","Class1","1090","2.025","68014.133","426.255","Class1","1090","2.01","59112.797","387.743",
"47080","Class1","1090","0.975","952161.591","1013.072","Class1","1095","0.975","490096.076","653.827","Class1","1095","0.965","3672495.10","1043.064","Class1","1095","0.975","16974794.4","2724.379","Class1","1100","0.985","682790.962","1140.830","Class1","1095","0.965","12596792.0","2282.146",
"Benzene, (3-methyl-1-methylenebutyl)-","Class1","1095","1.955","42397.976","295.359","Class1","1095","1.98","276523.611","994.920","Class1","1095","1.96","54719.811","378.038","Class1","1095","1.965","105547.326","637.605","Class1","1095","1.995","55787.675","406.668","Class1","1095","1.955","53089.994","388.585",
"1H-Indene, 2,3-dihydro-1,4,7-trimethyl-","Class1","1095","1.835","60514.805","481.073","Class1","1100","1.84","2749101.35","17735.984","Class1","1095","1.835","65527.663","552.445","Class1","1095","1.845","384067.497","2177.315","Class1","1095","1.865","15467.832","140.024","Class1","1095","1.84","23948.328","212.544",
"Naphthalene, 1,2,3,4-tetrahydro-6-methyl-","Class1","1105","2.08","74163.519","463.911","Class1","1105","2.085","4040561.58","10289.933","Class1","1105","2.07","70958.533","436.695","Class1","1105","2.085","395421.867","1948.153","Class1","1105","2.165","58619.444","393.008","Class1","1105","2.085","40840.692","259.722",
"Nonanoic acid, pentafluorophenyl ester","Class1","1110","1.53","3385235.99","19664.188","Class1","1115","1.545","1824451.57","7259.566","Class1","1110","1.525","7310422.98","45895.707","Class1","1110","1.535","8068491.54","43195.113","Class1","1110","1.575","3348821.73","21676.037","Class1","1110","1.53","5877810.82","36084.461",
"Benzaldehyde, 2,4,5-trimethyl-","Class1","1115","2.155","2087707.71","11216.220","Class1","1120","2.12","18997164.6","91040.688","Class1","1115","2.15","1077661.53","4073.627","Class1","1115","2.16","4078937.73","13265.729","Class1","1115","2.205","1437682.12","4031.888","Class1","1115","2.17","788204.321","3037.285",
"Undecanal","Class1","1115","1.615","150629.901","306.961","Class1","1120","1.61","188599.309","1003.836","Class1","1120","1.59","62011.071","596.046","Class1","1120","1.6","416797.427","3478.758","Class1","1120","1.615","45999.101","458.874","Class1","1115","1.61","25114.790","44.834",
"Cyclohexane, 1-ethyl-2,3-dimethyl-","Class1","1115","1.63","1231434.03","2955.964","Class1","1120","1.655","12152581.2","27977.600","Class1","1120","1.62","494880.934","1154.245","Class1","1120","1.63","4069878.87","11228.144","Class1","1120","1.645","168907.451","722.361","Class1","1115","1.635","235322.400","430.819",
"Analyte 1455","Class1","1120","1.73","194826.136","436.001","Class1","1120","1.775","1213086.38","12428.786","Class1","1120","1.72","78504.391","178.340","Class1","1120","1.74","212198.183","448.980","Class1","1120","1.75","92510.356","161.089","Class1","1120","1.73","47994.756","93.396",
"4-Undecene, 3-methyl-, (Z)-","Class1","1120","1.32","97724.907","527.654","Class1","1125","1.37","5123801.55","6422.665","Class1","1130","1.305","39713.141","82.863","Class1","1115","1.37","267725.701","1251.256","Class1","1115","1.385","46975.633","233.176","Class1","1130","1.32","8507.990","67.844",
"Naphthalene, 1-methyl-","Class1","1125","2.315","767173.825","4575.782","Class1","1130","2.315","26822000.3","113945.313","Class1","1125","2.3","959565.259","4733.198","Class1","1125","2.315","3440801.32","13440.600","Class1","1130","2.305","653538.180","2700.076","Class1","1125","2.325","494436.495","2454.463",
"45498","Class1","1130","1.145","1807.688","36.095","Class1","1135","1.18","18203.889","269.538","Class1","1135","1.13","12414.187","142.973","Class1","1130","1.155","3145.829","48.502","Class1","1135","1.145","4126.762","60.791","Class1","1135","1.14","14233.190","79.128",
"Naphthalene, 1,2,3,4-tetrahydro-2,7-dimethyl-","Class1","1135","1.88","141093.029","959.351","Class1","1135","1.91","6067100.93","19972.598","Class1","1135","1.865","87182.466","635.591","Class1","1135","1.885","455823.862","3098.604","Class1","1135","1.895","40768.750","292.728","Class1","1135","1.89","38104.935","278.391",
"Ethanone, 1-[4-(1-methylethyl)phenyl]-","Class1","1135","2.045","1437789.53","6209.555","Class1","1135","2.08","80783760.4","133337.672","Class1","1135","2.03","2515243.60","11418.255","Class1","1135","2.05","9723450.58","42710.816","Class1","1135","2.065","424645.331","1578.727","Class1","1135","2.07","261745.563","1167.208",
"63143","Class1","1135","1.1","2870677.63","9190.137","Class1","1140","1.13","32014072.9","46017.957","Class1","1140","1.08","609292.720","1171.415","Class1","1140","1.095","8701005.48","20649.656","Class1","1140","1.09","999632.890","3420.823","Class1","1135","1.1","311311.309","562.512",
"Cyclodecene, 3-bromo-","Class1","1140","1.515","36846.348","419.079","Class1","1145","1.54","1790275.88","12981.323","Class1","1140","1.5","11421.674","131.019","Class1","1140","1.52","86043.187","774.560","Class1","1140","1.52","6222.850","60.273","Class1","1140","1.515","7296.138","79.577",
"Naphthalene, 5-ethyl-1,2,3,4-tetrahydro-","Class1","1145","1.905","258429.709","571.434","Class1","1145","1.9","4784472.44","9925.786","Class1","1140","1.88","91427.579","258.395","Class1","1140","1.905","608556.643","1140.891","Class1","1140","1.91","30365.132","117.317","Class1","1140","1.91","25837.091","111.862",
"Nonane, 3-methyl-5-propyl-","Class1","1150","1.27","39281547.9","36100.930","Class1","1150","1.36","50414288.6","26380.711","Class1","1150","1.245","2361152.94","6682.353","Class1","1145","1.315","120775082","33545.766","Class1","1150","1.27","40557009.2","34581.074","Class1","1150","1.26","3936775.59","6371.011",
"Benzene, 3-cyclohexen-1-yl-","Class1","1150","2.035","109238.974","478.881","Class1","1150","2.05","1280022.15","4268.257","Class1","1150","2.005","98064.015","457.537","Class1","1150","2.035","333731.105","1143.440","Class1","1150","2.04","66603.250","255.655","Class1","1150","2.04","41778.040","172.719",
"Analyte 1498","Class1","1155","2.73","240624.585","631.032","Class1","1155","2.765","75812053.3","179873.844","Class1","1155","2.665","228556.444","462.679","Class1","1155","2.715","5485030.31","9954.833","Class1","1155","2.75","206812.775","337.834","Class1","1155","2.755","72219.256","150.980",
"Dodecane","Class1","1155","1.275","14388014.3","13615.395","Class1","1160","1.255","51833702.5","8346.125","Class1","1165","1.24","708005.405","543.257","Class1","1160","1.305","53626622.9","9090.988","Class1","1155","1.275","13086409.7","11508.956","Class1","1160","1.265","2461347.48","789.944",
"Ethanone, 1-[4-(1-methylethyl)phenyl]-","Class1","1165","2.04","882280.232","3616.507","Class1","1165","2.07","54540553.4","80312.977","Class1","1165","1.99","1591055.92","6851.770","Class1","1165","2.045","4661060.02","20437.611","Class1","1165","2.075","128357.408","598.396","Class1","1165","2.075","123068.194","632.455",
"Perhydrophenalene, (3aà, 6aà, 9aà, 9bá)-","Class1","1175","1.695","80977.168","1041.371","Class1","1180","1.72","5150529.36","39580.543","Class1","1175","1.655","12614.501","149.252","Class1","1175","1.705","153074.506","1115.170","Class1","1175","1.695","12571.708","153.851","Class1","1175","1.695","7053.956","94.267",
"Naphthalene, 5-ethyl-1,2,3,4-tetrahydro-","Class1","1180","1.975","44129.456","307.626","Class1","1185","1.975","2493872.06","12401.616","Class1","1180","1.925","31397.347","211.802","Class1","1180","1.985","196616.800","1172.488","Class1","1180","1.985","15216.378","103.644","Class1","1180","1.975","11776.941","81.225",
"1H-Inden-1-one, 2,3-dihydro-3,3,6-trimethyl-","Class1","1185","1.81","35045.872","183.722","Class1","1185","1.82","2794827.71","5734.669","Class1","1190","1.905","13392.652","116.884","Class1","1185","1.805","112193.291","810.534","Class1","1190","1.955","52659.533","478.574","Class1","1190","1.96","15088.916","138.523",
"Cyclohexane, 1,1'-methylenebis-","Class1","1195","1.58","9656.814","137.425","Class1","1200","1.615","451134.981","3995.806","Class1","1195","1.55","3598.306","54.861","Class1","1195","1.595","36719.170","452.151","Class1","1195","1.58","2408.797","34.953","Class1","1195","1.585","1980.838","23.688",
"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester","Class1","1195","1.705","114386.572","582.300","Class1","1200","1.735","19304887.0","38742.305","Class1","1195","1.67","108199.002","603.681","Class1","1195","1.72","81031.865","440.735","Class1","1195","1.715","45733.568","268.954","Class1","1195","1.715","26065.387","160.257",
"Biphenyl","Class1","1200","2.295","428119.708","1370.705","Class1","1205","2.26","12345732.9","80286.602","Class1","1205","2.22","261932.510","887.288","Class1","1205","2.27","666275.075","2495.144","Class1","1205","2.28","456714.445","1935.790","Class1","1205","2.29","276945.420","848.575",
"Analyte 1558","Class1","1215","1.08","29140.152","155.279","Class1","1215","1.105","154466.323","232.895","Class1","1215","1.07","18626.519","79.656","Class1","1215","1.085","40151.538","137.119","Class1","1215","1.08","25028.272","115.814","Class1","1215","1.08","15646.582","63.721",
"Naphthalene, 1,2,3,4-tetrahydro-5,7-dimethyl-","Class1","1215","1.99","25119.673","159.490","Class1","1220","1.99","1405493.84","7844.819","Class1","1215","1.945","14985.026","103.765","Class1","1220","1.97","111929.259","368.082","Class1","1215","1.995","9964.834","35.911","Class1","1215","2.005","7181.836","39.040",
"1,1'-Biphenyl, 4-methyl-","Class1","1225","2.14","496291.526","4603.883","Class1","1225","2.16","20443703.5","79492.875","Class1","1225","2.115","166559.878","1531.502","Class1","1225","2.15","610824.599","5218.811","Class1","1225","2.15","220873.679","1846.986","Class1","1225","2.15","108217.502","948.199",
"Cyclohexane, 3-ethyl-5-methyl-1-propyl-","Class1","1220","1.395","593137.602","1382.221","Class1","1225","1.435","46030551.7","12669.543","Class1","1235","1.315","283614.577","221.027","Class1","1230","1.36","6196307.72","7053.284","Class1","1230","1.34","686204.004","939.470","Class1","1235","1.325","319978.197","245.314",
"Naphthalene, 1,7-dimethyl-","Class1","1230","2.11","188592.582","1583.086","Class1","1235","2.08","10711511.2","41471.688","Class1","1230","2.1","115512.100","672.119","Class1","1230","2.11","1032795.86","7396.587","Class1","1230","2.125","118596.194","741.551","Class1","1230","2.13","101128.239","679.883",
"3-Ethyl-3-phenyl-1-pentene","Class1","1235","1.87","27917.647","174.843","Class1","1240","1.86","2527994.40","8165.012","Class1","1235","1.855","15496.088","100.560","Class1","1235","1.875","225326.719","728.207","Class1","1235","1.87","7288.856","57.088","Class1","1235","1.87","7634.662","60.627",
"Naphthalene, 1,7-dimethyl-","Class1","1245","2.175","347165.412","1866.545","Class1","1250","2.16","20970064.1","99906.250","Class1","1245","2.2","225018.515","929.911","Class1","1245","2.18","1919649.40","9048.777","Class1","1245","2.19","200481.068","837.938","Class1","1245","2.19","191099.107","836.182",
"Analyte 1605","Class1","1250","2.03","11293.438","77.706","Class1","1250","2.045","1860802.78","3108.730","Class1","1250","2.055","6775.395","50.695","Class1","1250","2.035","52422.999","371.430","Class1","1250","2.04","6850.168","62.310","Class1","1250","2.04","4519.458","38.496",
"Decane, 2,6,8-trimethyl-","Class1","1250","1.295","6003890.26","7733.491","Class1","1250","1.29","217708094","30220.098","Class1","1250","1.3","378604.850","349.252","Class1","1250","1.3","78938064.9","24565.740","Class1","1250","1.295","3826525.36","3948.759","Class1","1255","1.28","1129584.03","573.857",
"undecane","Class1","1255","1.305","2768905.23","6261.484","Class1","1260","1.295","125474793","31183.275","Class1","1255","1.305","195316.211","332.691","Class1","1255","1.305","17731637.0","23931.193","Class1","1255","1.305","3250554.04","3637.600","Class1","1260","1.305","802480.149","355.831",
"Cyclooctane, 1,2-diethyl-","Class1","1260","1.355","223647.811","411.812","Class1","1265","1.395","16073565.4","10292.645","Class1","1260","1.35","12658.430","63.276","Class1","1260","1.35","3271101.72","2646.340","Class1","1255","1.355","60265.419","241.771","Class1","1255","1.335","17666.341","98.824",
"Diphenylmethane","Class1","1260","2.27","12093.783","67.122","Class1","1260","2.255","1240461.93","9410.753","Class1","1260","2.305","9155.671","62.917","Class1","1260","2.275","32486.972","218.384","Class1","1260","2.29","10026.168","69.295","Class1","1260","2.285","19024.338","140.707",
"Spiro[2.3]hexan-4-one, 5,5-diethyl-6,6-dimethyl-","Class1","1265","1.565","716211.661","2187.115","Class1","1265","1.595","3171406.02","4051.875","Class1","1265","1.575","807769.706","2439.807","Class1","1265","1.57","1919757.78","4021.862","Class1","1265","1.565","50359.609","132.971","Class1","1265","1.565","192488.578","557.882",
"Phenol, 2,6-bis(1,1-dimethylethyl)-","Class1","1265","1.835","154043.607","1580.589","Class1","1265","1.845","404853.111","4264.488","Class1","1265","1.85","366273.215","3443.714","Class1","1265","1.835","327931.158","3447.475","Class1","1265","1.835","58020.541","646.674","Class1","1265","1.84","226576.938","2317.754",
"Naphthalene, 1,7-dimethyl-","Class1","1265","2.23","75791.552","299.201","Class1","1270","2.245","5060446.39","15019.397","Class1","1265","2.27","46163.306","191.244","Class1","1265","2.235","410301.469","1507.873","Class1","1265","2.24","45268.968","195.102","Class1","1265","2.25","43594.729","185.131",
"Cyclohexane, (1-methylethyl)-","Class1","1265","1.4","766013.727","2534.523","Class1","1270","1.445","14057367.6","18057.514","Class1","1265","1.405","120546.387","441.892","Class1","1265","1.405","2445774.79","6240.643","Class1","1270","1.39","138385.003","222.404","Class1","1265","1.4","201847.542","687.452",
"Dodecane, 2,7,10-trimethyl-","Class1","1270","1.295","5842319.92","4728.156","Class1","1270","1.3","210989482","30503.014","Class1","1265","1.325","564887.416","376.873","Class1","1270","1.105","514044.773","250.155","Class1","1270","1.295","2018180.66","2404.794","Class1","1265","1.32","548574.560","485.270",
"Naphthalene, 1,7-dimethyl-","Class1","1270","2.255","28488.362","243.245","Class1","1265","2.19","1784252.30","11606.611","Class1","1270","2.28","24792.778","157.535","Class1","1270","2.26","201600.405","1303.565","Class1","1270","2.265","27089.405","144.166","Class1","1270","2.27","19818.242","147.215",
"Cyclotetradecane","Class1","1270","1.375","1531496.22","2366.217","Class1","1270","1.42","16277605.4","15190.144","Class1","1270","1.38","263128.751","497.391","Class1","1270","1.38","7142648.29","12711.050","Class1","1270","1.375","116494.162","361.702","Class1","1270","1.375","524668.755","976.906",
"Decane, 2,6,8-trimethyl-","Class1","1280","1.29","1424929.96","3001.934","Class1","1285","1.29","69897253.4","28534.602","Class1","1280","1.285","508914.497","316.214","Class1","1280","1.295","23963129.1","13992.246","Class1","1280","1.29","1672374.50","1435.547","Class1","1280","1.29","518813.921","526.704",
"Naphthalene, 1-ethyl-","Class1","1280","2.275","40783.155","232.826","Class1","1285","2.24","2840694.09","12805.356","Class1","1280","2.315","18913.368","103.418","Class1","1280","2.285","228432.212","1012.823","Class1","1280","2.29","30253.736","120.729","Class1","1280","2.295","22996.308","107.976",
"Benzene, octyl-","Class1","1285","1.625","139943.468","303.179","Class1","1290","1.625","5034616.02","12532.436","Class1","1290","1.62","43984.285","88.132","Class1","1290","1.615","711960.687","1440.119","Class1","1290","1.615","30623.632","151.603","Class1","1285","1.63","77197.162","182.727",
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-","Class1","1290","1.755","2021304.75","18730.729","Class1","1295","1.77","9208564.29","48300.543","Class1","1290","1.755","3172039.63","28511.252","Class1","1290","1.755","3962016.69","31972.107","Class1","1290","1.745","1001385.10","9094.014","Class1","1290","1.745","523947.645","5337.941",
"Undecane","Class1","1305","1.3","1252852.08","1180.576","Class1","1305","1.3","81648622.2","20183.242","Class1","1300","1.32","149475.297","111.545","Class1","1300","1.13","134348.485","75.483","Class1","1300","1.3","382901.574","697.067","Class1","1295","1.3","111495.314","226.478",
"E-2-Hexadecacen-1-ol","Class1","1305","1.32","748361.781","610.929","Class1","1305","1.335","15278293.1","11912.113","Class1","1305","1.33","284254.393","232.566","Class1","1300","1.32","7520295.00","3455.748","Class1","1310","1.315","313253.920","341.114","Class1","1305","1.33","392221.370","286.194",
"Acenaphthene","Class1","1310","2.445","75595.733","524.497","Class1","1315","2.405","11888910.1","69584.828","Class1","1310","2.445","55515.633","260.257","Class1","1310","2.45","140790.631","632.631","Class1","1315","2.42","68527.572","240.747","Class1","1310","2.455","33876.782","175.411",
"46315","Class1","1310","1.09","262603.876","831.687","Class1","1315","1.095","532874.416","740.845","Class1","1315","1.08","186211.614","450.261","Class1","1315","1.085","177560.523","351.607","Class1","1315","1.08","152098.935","387.628","Class1","1315","1.085","63294.841","248.137",
"Pentadecane","Class1","1315","1.275","3149127.04","3770.426","Class1","1310","1.29","85573826.2","43010.504","Class1","1315","1.275","599494.410","1309.112","Class1","1315","1.29","9148259.40","7860.150","Class1","1315","1.28","2329928.29","1632.742","Class1","1315","1.28","546522.850","919.493",
"45317","Class1","1315","1.55","137684.420","372.700","Class1","1315","1.555","822476.240","1484.597","Class1","1315","1.565","52040.880","127.115","Class1","1315","1.555","184831.510","378.258","Class1","1315","1.56","124031.567","266.316","Class1","1315","1.565","90663.970","186.893",
"2,2'-Dimethylbiphenyl","Class1","1320","2.08","10868.480","84.148","Class1","1320","2.085","1329408.98","9197.154","Class1","1315","2.225","10046.267","54.867","Class1","1320","2.085","30322.759","249.654","Class1","1320","2.085","7422.094","62.019","Class1","1320","2.085","4754.176","42.419",
"1-Decene, 3,4-dimethyl-","Class1","1320","1.325","7945345.11","15169.188","Class1","1325","1.325","76474500.8","22929.820","Class1","1320","1.32","2100724.50","4199.007","Class1","1320","1.325","27467440.8","21824.273","Class1","1325","1.315","2266696.45","2856.063","Class1","1320","1.325","4713115.11","9012.418",
"Naphthalene, 1,4,5-trimethyl-","Class1","1330","2.065","43006.444","266.431","Class1","1335","2.105","1468262.99","9483.363","Class1","1330","2.08","25938.630","126.182","Class1","1335","2.115","121970.935","733.259","Class1","1330","2.09","27765.058","140.759","Class1","1335","2.115","8500.698","58.101",
"2-Hexen-1-ol, 2-ethyl-","Class1","1335","1.38","1351805.40","9070.005","Class1","1335","1.39","1711850.96","8250.614","Class1","1335","1.375","201192.725","1584.774","Class1","1335","1.38","2396528.35","15151.286","Class1","1335","1.38","230661.514","1879.671","Class1","1335","1.375","390619.838","3151.585",
"Butylated Hydroxytoluene","Class1","1335","1.775","417406.340","5630.174","Class1","1335","1.78","3804268.63","42904.137","Class1","1335","1.775","89361.617","1187.272","Class1","1335","1.78","1061565.74","13510.743","Class1","1335","1.775","53350.815","743.000","Class1","1335","1.775","62485.609","844.676",
"Nonane, 3,7-dimethyl-","Class1","1340","1.285","1137406.40","492.305","Class1","1335","1.315","128673234","14682.274","Class1","1340","1.28","68069.792","62.371","Class1","1345","1.285","9504478.81","1993.020","Class1","1340","1.28","551713.094","192.861","Class1","1340","1.285","233570.000","103.677",
"Dibenzofuran","Class1","1340","2.4","187489.478","1012.612","Class1","1345","2.345","4668735.56","19776.152","Class1","1340","2.44","67255.331","203.183","Class1","1340","2.425","303936.013","911.281","Class1","1345","2.39","190777.618","559.566","Class1","1340","2.44","105434.995","329.563",
"2-Hexen-1-ol, 2-ethyl-","Class1","1355","1.37","1034853.53","4946.833","Class1","1355","1.385","1175939.13","5565.238","Class1","1355","1.37","123955.615","744.430","Class1","1355","1.37","1875451.75","9485.055","Class1","1355","1.37","187590.415","1320.275","Class1","1355","1.37","266879.022","1755.718",
"Analyte 1695","Class1","1355","1.545","205909.254","439.916","Class1","1355","1.58","8444823.90","3517.417","Class1","1355","1.55","20820.092","54.596","Class1","1355","1.55","346300.289","502.235","Class1","1355","1.55","26461.044","58.698","Class1","1355","1.545","33413.470","79.540",
"Naphthalene, 1,4,5-trimethyl-","Class1","1355","2.085","57003.749","242.937","Class1","1355","2.08","3976154.13","14294.546","Class1","1355","2.1","23147.516","139.032","Class1","1355","2.085","431361.019","2083.062","Class1","1355","2.095","38921.381","164.282","Class1","1355","2.105","37805.397","140.628",
"n-Nonylcyclohexane","Class1","1365","1.405","256863.133","863.819","Class1","1365","1.415","15348606.7","18342.756","Class1","1365","1.405","60966.724","210.829","Class1","1365","1.41","987888.437","2551.869","Class1","1365","1.41","80778.702","286.676","Class1","1365","1.41","86860.391","300.701",
"Indan, 6-tert-butyl-4-ethyl-1,1-dimethyl-","Class1","1365","1.77","15937.113","231.989","Class1","1370","1.76","1331006.85","9062.205","Class1","1365","1.77","11907.512","169.587","Class1","1365","1.775","118164.938","1424.008","Class1","1365","1.775","40017.395","436.348","Class1","1365","1.775","17858.991","226.107",
"Naphthalene, 1,4,6-trimethyl-","Class1","1370","2.13","35835.447","272.656","Class1","1370","2.135","2305649.72","9079.926","Class1","1370","2.15","15836.913","114.022","Class1","1370","2.14","281102.356","1853.470","Class1","1370","2.135","25043.022","201.218","Class1","1370","2.13","25403.486","175.953",
"Dodecanoic acid","Class1","1375","1.58","701402.953","2068.571","Class1","1375","1.59","822506.140","1806.336","Class1","1375","1.6","208315.278","589.074","Class1","1375","1.595","326569.191","783.030","Class1","1375","1.585","1796859.85","6372.284","Class1","1375","1.59","3074040.67","10140.271",
"Analyte 1713","Class1","1375","1.905","29147.911","206.024","Class1","1375","1.915","581003.873","3265.017","Class1","1375","1.9","9319.835","76.117","Class1","1375","1.905","171192.923","1151.251","Class1","1375","1.9","80435.681","679.995","Class1","1375","1.9","70692.898","507.718",
"Pentadecane, 3-methyl-","Class1","1380","1.28","871121.550","1483.842","Class1","1380","1.29","30641625.0","9838.711","Class1","1380","1.285","124204.020","177.430","Class1","1385","1.295","4530634.32","815.519","Class1","1380","1.28","391311.273","549.089","Class1","1380","1.285","207634.108","233.790",
"Naphthalene, 1,4,5-trimethyl-","Class1","1385","2.175","19332.840","173.443","Class1","1385","2.16","595095.921","4640.464","Class1","1385","2.19","7508.322","65.664","Class1","1385","2.17","128694.089","1049.328","Class1","1385","2.175","14632.892","133.801","Class1","1385","2.175","12688.634","106.876",
"Oxalic acid, butyl cyclohexylmethyl ester","Class1","1395","1.455","41474.978","157.062","Class1","1395","1.46","2984474.45","5021.545","Class1","1395","1.455","9562.857","40.159","Class1","1395","1.455","219153.952","488.999","Class1","1395","1.46","18604.385","68.094","Class1","1395","1.46","15689.380","63.577",
"tetradecanol (n)","Class1","1400","1.32","449835.605","399.108","Class1","1400","1.335","17572420.4","3271.573","Class1","1400","1.33","41777.898","90.105","Class1","1400","1.325","942742.271","524.428","Class1","1400","1.325","139791.513","274.416","Class1","1400","1.325","84846.372","137.194",
"Hexadecane","Class1","1405","1.285","2189227.06","3878.879","Class1","1405","1.28","10150947.4","5307.495","Class1","1405","1.285","799864.215","1481.458","Class1","1405","1.285","4713089.88","1662.210","Class1","1405","1.285","2260972.50","3526.844","Class1","1405","1.285","370064.923","740.273",
"Fluorene","Class1","1405","2.43","26306.815","189.878","Class1","1405","2.415","788572.625","4523.239","Class1","1405","2.46","7230.052","57.158","Class1","1405","2.44","46842.821","269.930","Class1","1405","2.445","25293.761","164.073","Class1","1405","2.465","12007.900","78.357",
"Propanoic acid, 2-methyl-, 1-(1,1-dimethylethyl)-2-methyl-1,3-propanediyl ester","Class1","1410","1.605","524736.547","1487.242","Class1","1410","1.615","16444599.1","23434.906","Class1","1410","1.605","1635825.06","4250.259","Class1","1410","1.61","598362.286","1249.466","Class1","1410","1.61","496167.286","1303.595","Class1","1410","1.61","322795.741","826.936",
"Diethyl Phthalate","Class1","1410","2.34","168755.016","788.908","Class1","1410","2.34","1263778.23","4800.020","Class1","1410","2.355","66127.007","246.182","Class1","1410","2.355","120479.030","432.200","Class1","1410","2.35","114288.246","504.794","Class1","1410","2.355","58245.836","249.816",
"5,5-Diethyltridecane","Class1","1410","1.3","414384.382","678.225","Class1","1410","1.31","8628326.77","12529.798","Class1","1410","1.305","50754.359","135.891","Class1","1410","1.305","819852.661","1788.399","Class1","1415","1.025","81749.588","46.569","Class1","1410","1.305","131799.553","294.943",
"Carbamic acid, N-[1,1-bis(trifluoromethyl)ethyl]-, 4-(1,1,3,3-tetramethylbutyl)phenyl ester","Class1","1420","1.955","57799.015","300.675","Class1","1420","1.955","444333.540","2344.423","Class1","1420","1.975","12356.654","70.159","Class1","1420","1.965","105919.541","545.481","Class1","1420","1.97","46437.762","247.815","Class1","1420","1.97","51908.355","282.801",
"48874","Class1","1440","1.545","179677.180","323.147","Class1","1440","1.55","2025091.35","2252.609","Class1","1440","1.55","32527.535","89.922","Class1","1440","1.545","352219.326","511.586","Class1","1440","1.55","42642.841","122.484","Class1","1440","1.545","66833.673","162.728",
"tridecane","Class1","1445","1.275","910497.680","1006.056","Class1","1440","1.35","8032876.75","1918.667","Class1","1445","1.275","215920.585","222.342","Class1","1445","1.275","1040128.80","361.513","Class1","1445","1.275","978944.499","628.346","Class1","1445","1.275","238930.462","163.491",
"benzophenone","Class1","1445","2.565","258127.723","402.840","Class1","1445","2.55","4726769.62","4875.394","Class1","1445","2.595","81167.264","126.267","Class1","1445","2.595","251677.459","293.249","Class1","1445","2.585","185256.488","243.643","Class1","1445","2.585","236267.833","352.924",
"Benzene, (1-propyloctyl)-","Class1","1450","1.55","100980.132","203.351","Class1","1450","1.56","1316265.78","1234.511","Class1","1450","1.55","23843.124","63.005","Class1","1450","1.555","195346.980","291.724","Class1","1450","1.555","27653.342","72.418","Class1","1450","1.55","34259.981","92.326",
"Hexadecen-1-ol, trans-9-","Class1","1455","1.39","364859.657","1145.839","Class1","1455","1.4","3329165.45","4763.373","Class1","1455","1.395","34697.989","123.270","Class1","1455","1.395","457614.373","1221.101","Class1","1455","1.395","133796.170","374.735","Class1","1455","1.395","79271.909","254.812",
"46841","Class1","1460","1.09","391046.719","1583.971","Class1","1460","1.09","131620.424","169.955","Class1","1460","1.09","143239.768","434.495","Class1","1460","1.09","84705.622","202.491","Class1","1460","1.09","66870.895","174.890","Class1","1460","1.09","70282.059","158.413",
"docosane","Class1","1460","1.285","368471.024","526.794","Class1","1460","1.315","2254835.87","1095.692","Class1","1460","1.285","37433.996","111.947","Class1","1460","1.305","665559.724","245.057","Class1","1460","1.285","189163.028","317.490","Class1","1460","1.29","215206.470","112.519",
"Analyte 1766","Class1","1470","2.13","10905.007","134.427","Class1","1470","2.13","225903.690","2000.819","Class1","1470","2.13","4893.588","62.365","Class1","1470","2.135","12729.041","140.650","Class1","1470","2.13","5288.140","64.244","Class1","1470","2.14","4288.995","53.503",
