,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Benzene, 1-chloro-4-(trifluoromethyl)-","Class1","395","1.56","341760.091","2578.355","Class1","395","1.56","13372012.4","94424.125","Class1","395","1.56","1100621.75","6177.437","Class1","395","1.56","1094961.52","7648.442","Class1","395","1.56","1298221.02","9304.071","Class1","395","1.565","1546454.88","12603.003",
"Ethylbenzene","Class1","400","1.765","10446770.2","13301.033","Class1","400","1.755","24733038.9","16257.108","Class1","400","1.77","22110105.9","24642.219","Class1","400","1.77","13931252.0","12830.063","Class1","400","1.77","23635459.7","21422.023","Class1","400","1.77","14414147.0","12650.139",
"4-Nonene","Class1","410","1.345","17038247.7","11018.446","Class1","410","1.35","15553927.6","5444.491","Class1","410","1.34","32678224.2","14624.299","Class1","410","1.345","89394233.9","10763.460","Class1","410","1.35","37740343.5","12758.931","Class1","410","1.355","86858511.0","14912.071",
"Benzene, 1,3-dimethyl-","Class1","415","1.81","2047575.83","8911.171","Class1","410","1.81","2013381.38","1345.881","Class1","410","1.805","2577774.04","12705.895","Class1","415","1.805","2001011.46","8361.551","Class1","415","1.83","2175579.10","9617.855","Class1","415","1.78","1662839.49","10777.327",
"Octane, 3-methyl-","Class1","415","1.27","1039840.93","3900.777","Class1","415","1.28","6094584.36","11441.554","Class1","415","1.265","1574720.31","5124.437","Class1","415","1.265","2410588.69","7763.555","Class1","415","1.27","2213743.08","7444.255","Class1","415","1.265","2400996.20","8822.970",
"4-Nonene","Class1","415","1.35","9882268.43","29633.557","Class1","420","1.335","4921935.28","16826.199","Class1","415","1.345","33803341.6","55542.879","Class1","415","1.385","19629814.9","33874.547","Class1","415","1.355","33807379.7","39631.063","Class1","410","1.29","15040115.0","37488.480",
"3-Octyne, 5-methyl-","Class1","420","1.425","1912544.51","4657.884","Class1","420","1.415","1410084.94","2121.307","Class1","420","1.415","4391749.06","6359.237","Class1","420","1.425","3916014.44","5346.782","Class1","420","1.425","4749428.73","8122.024","Class1","420","1.43","7290272.76","12444.302",
"4-Heptanone","Class1","420","1.685","964394.725","1662.713","Class1","420","1.685","6348814.11","9352.858","Class1","420","1.685","877467.437","1478.941","Class1","420","1.685","5361337.84","5915.985","Class1","420","1.685","3097372.91","4211.428","Class1","420","1.695","1818475.11","2554.025",
"Hexane, 3,4-bis(1,1-dimethylethyl)-2,2,5,5-tetramethyl-","Class1","425","1.23","2745096.57","3574.228","Class1","425","1.235","6496055.61","4058.181","Class1","425","1.225","3002461.73","3597.492","Class1","425","1.23","4361146.06","4142.489","Class1","425","1.23","3637833.93","5468.065","Class1","425","1.235","8025073.25","8834.761",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","425","1.43","6979556.28","12984.543","Class1","425","1.435","3341375.63","3986.399","Class1","425","1.425","10196311.5","18908.166","Class1","425","1.43","8805463.75","14718.880","Class1","425","1.43","16240964.1","24886.053","Class1","425","1.435","15313907.7","34572.992",
"Phenylethyne","Class1","425","2.04","86247.615","334.243","Class1","425","2.03","7561903.24","19226.934","Class1","425","2.055","102005.601","391.973","Class1","425","2.045","235974.784","944.224","Class1","425","2.045","190441.003","818.814","Class1","425","2.055","127480.975","502.767",
"Cyclohexane, 1,3-dimethyl-2-methylene-, trans-","Class1","430","1.435","2139955.19","6111.189","Class1","430","1.44","1254534.93","2239.596","Class1","430","1.43","2831035.20","9267.929","Class1","430","1.435","2641216.43","7321.053","Class1","430","1.435","3405399.33","10850.280","Class1","430","1.44","5380173.76","16953.848",
"1-Hepten-3-one","Class1","430","1.8","1509173.56","1734.540","Class1","430","1.8","3919752.59","2330.748","Class1","430","1.805","1693498.29","1762.134","Class1","430","1.8","8839464.59","6404.356","Class1","430","1.8","4895112.23","4659.737","Class1","430","1.81","1144487.84","1225.047",
"Hexanenitrile","Class1","430","2.07","339426.963","212.037","Class1","430","2.055","9812235.13","3730.148","Class1","430","2.085","304480.285","256.099","Class1","435","2.065","1629107.52","445.117","Class1","430","2.075","1150372.25","624.193","Class1","430","2.08","856240.290","439.722",
"Heptane, 2,2,4-trimethyl-","Class1","435","1.235","2279439.28","4385.136","Class1","435","1.24","4015303.67","4112.954","Class1","435","1.235","2852331.49","4973.811","Class1","435","1.24","3730066.33","4968.334","Class1","435","1.235","3920788.55","6771.348","Class1","435","1.24","5749236.92","10233.124",
"1-Isopropylcyclohex-1-ene","Class1","440","1.45","822961.612","2050.105","Class1","445","1.455","1383110.95","1451.958","Class1","440","1.445","766908.249","2337.567","Class1","440","1.45","1457602.35","1898.894","Class1","440","1.455","935164.913","3186.373","Class1","440","1.46","2623287.92","4828.454",
"3-Heptanone","Class1","445","1.725","9535630.01","12990.318","Class1","445","1.74","49703485.9","37001.070","Class1","445","1.725","14826981.6","16567.338","Class1","445","1.725","43474631.0","39498.254","Class1","445","1.725","27672569.4","29870.498","Class1","445","1.725","21242228.3","23145.693",
"Heptane, 2-methyl-3-methylene-","Class1","445","1.315","6883913.26","18858.145","Class1","450","1.35","12779475.1","10474.700","Class1","445","1.36","24456523.6","29736.789","Class1","440","1.315","1708966.98","4396.077","Class1","445","1.375","35730259.6","27025.650","Class1","450","1.365","41275034.6","36200.402",
"Styrene","Class1","450","1.96","38307095.5","99755.492","Class1","445","1.98","29066687.1","75853.875","Class1","450","1.96","59058107.1","146900.078","Class1","450","1.965","71915342.3","108287.211","Class1","450","1.96","53046932.6","128618.547","Class1","450","1.96","72258941.6","147539.875",
"3-Octyne, 2-methyl-","Class1","450","1.455","10451789.0","17777.545","Class1","450","1.465","5381568.18","5681.285","Class1","450","1.45","9121666.34","19950.324","Class1","450","1.45","11473364.2","22089.412","Class1","450","1.455","14407190.4","32361.258","Class1","450","1.455","17324092.6","43737.695",
"2-Heptanone","Class1","450","1.765","3718066.69","8463.746","Class1","455","1.77","3383489.72","5860.325","Class1","450","1.765","3125209.46","6996.480","Class1","450","1.765","18973352.4","31257.510","Class1","450","1.765","9384989.97","20671.426","Class1","450","1.765","5342661.05","9263.552",
"Benzene, 1,3-dimethyl-","Class1","450","1.865","12106739.1","11765.843","Class1","455","1.87","36864047.9","15018.503","Class1","450","1.865","24008260.5","29502.547","Class1","450","1.865","17559568.6","16034.810","Class1","450","1.865","26829165.2","27481.203","Class1","450","1.865","9780144.82","11481.646",
"Octane, 2,3,6-trimethyl-","Class1","455","1.26","860708.621","4192.752","Class1","455","1.265","1263361.90","4270.986","Class1","455","1.26","1214397.28","5834.974","Class1","455","1.265","1543600.37","5862.856","Class1","455","1.265","1614911.10","7449.837","Class1","455","1.265","2447217.64","10786.162",
